Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
O14744,C9JSX3;G3V2X6;G3V580;G3V5L5;H0YJX6;O14744-2;O14744-3;O14744-5;O14744,ANM5_HUMAN,PRMT5,10,Protein arginine N-methyltransferase 5,319365,300651,260521,,,,536778,632288,627454,399941,212929,334685
O14745,O14745-2;O14745,NHRF1_HUMAN,SLC9A3R1,10,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,891683,1036650,932802,569614,436142,,391638,516209,440955,,,
O14773;O14773-2,A0A2R8Y7U1;A0A2R8YD45;A0A2R8YGD1;O14773-2;O14773,TPP1-2_HUMAN;TPP1_HUMAN,TPP1,1,Tripeptidyl-peptidase 1,,,,,,,,,,,,
O14776;O14776-2,O14776-2;O14776,TCRG1-2_HUMAN;TCRG1_HUMAN,TCERG1,10,Transcription elongation regulator 1,90271.6,115441,96233,,,,125421,73661.8,106843,,,
O14818,H0Y586;O14818-2;O14818,PSA7_HUMAN,PSMA7,8,Proteasome subunit alpha type-7,493836,449634,544292,453175,295608,,657111,697940,679309,539155,138832,582984
O14828;O14828-2,O14828-2;O14828,SCAM3-2_HUMAN;SCAM3_HUMAN,SCAMP3,2,Secretory carrier-associated membrane protein 3,,97740.6,,,,,,,143265,,,
O14880,Q5VV89;O14880,MGST3_HUMAN,MGST3,1,Microsomal glutathione S-transferase 3,,17394.1,,,,,,,,,,
O14907,O14907,TX1B3_HUMAN,TAX1BP3,1,Tax1-binding protein 3,,,,,,,86285,119535,104114,,,
O14908;O14908-2,A0A2R8Y651;K7EM11;O14908-2;O14908;Q8TF64,GIPC1-2_HUMAN;GIPC1_HUMAN,GIPC1,2,PDZ domain-containing protein GIPC1,,,,,,,100820,,,,,
O14910,H0YI92;H0YIA8;O14910,LIN7A_HUMAN,LIN7A,1,Protein lin-7 homolog A,,,,,,,,,,,,
O14925;Q5SRD1,B4DDK6;O14925;Q5SRD1,TI23B_HUMAN;TIM23_HUMAN,TIMM23;TIMM23B,2,Mitochondrial import inner membrane translocase subunit Tim23,,,,,,,,,,,,
O14929;O14929-2,O14929-2;O14929,HAT1-2_HUMAN;HAT1_HUMAN,HAT1,1,Histone acetyltransferase type B catalytic subunit,,,,,,,,73443.2,123739,,,
O14949,O14949,QCR8_HUMAN,UQCRQ,3,Cytochrome b-c1 complex subunit 8,246013,,292287,,,,,,,,,
O14950;P19105,J3KTJ1;J3QRS3;O14950;P19105;P24844,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,6,Myosin regulatory light chain 12B,1072540,920118,1061760,302948,,,1099650,1231060,1010680,2020430,2044140,2754070
O14974;O14974-3;O14974-4,F8VW28;F8VZN8;H0YHL8;O14974-2;O14974-3;O14974-4;O14974-5;O14974,MYPT1-3_HUMAN;MYPT1-4_HUMAN;MYPT1_HUMAN,PPP1R12A,5,Protein phosphatase 1 regulatory subunit 12A,,,76875.6,,,,185498,169027,182115,,,
O14979,A0A087WUK2;O14979-2;O14979-3;O14979,HNRDL_HUMAN,HNRNPDL,9,Heterogeneous nuclear ribonucleoprotein D-like,1911280,1994340,1945090,1376610,876621,743822,1010410,1275590,1003370,291398,224984,288175
O14980,C9J673;C9JKM9;O14980,XPO1_HUMAN,XPO1,6,Exportin-1,,,,,,,309061,329605,242812,,,
O15020;O15020-2,O15020-2;O15020,SPTN2-2_HUMAN;SPTN2_HUMAN,SPTBN2,2,"Spectrin beta chain, non-erythrocytic 2",,,,,,,,,,,,
O15027;O15027-2;O15027-3;O15027-4;O15027-5,A0A3F2YNX0;A0A3F2YNZ0;F1T0I1;O15027-2;O15027-3;O15027-4;O15027-5;O15027,SC16A-2_HUMAN;SC16A-3_HUMAN;SC16A-4_HUMAN;SC16A-5_HUMAN;SC16A_HUMAN,SEC16A,2,Protein transport protein Sec16A,,,,,,,,,,,,
O15042;O15042-2,O15042-2;O15042-3;O15042,SR140-2_HUMAN;SR140_HUMAN,U2SURP,6,U2 snRNP-associated SURP motif-containing protein,262273,,198977,,,,,,342654,,,122819
O15067,H0YGH1;O15067,PUR4_HUMAN,PFAS,13,Phosphoribosylformylglycinamidine synthase,116208,140568,133265,,,,387943,443315,396884,,,
O15118,K7EQ23;O15118-2;O15118,NPC1_HUMAN,NPC1,3,NPC intracellular cholesterol transporter 1,,,,,,,,,111458,,,
O15126,A0A087WU14;A0A087WXB0;O15126,SCAM1_HUMAN,SCAMP1,2,Secretory carrier-associated membrane protein 1,,,,,,,,,,,,
O15127,O15127,SCAM2_HUMAN,SCAMP2,1,Secretory carrier-associated membrane protein 2,,,,,,,,,,,,
O15143,O15143,ARC1B_HUMAN,ARPC1B,3,Actin-related protein 2/3 complex subunit 1B,,48261.6,47856.7,,,,151732,84658.3,,,,
O15144,O15144,ARPC2_HUMAN,ARPC2,6,Actin-related protein 2/3 complex subunit 2,399538,436844,453308,,,,312547,320670,462141,,,
O15145,O15145,ARPC3_HUMAN,ARPC3,4,Actin-related protein 2/3 complex subunit 3,255902,167936,,,,,352275,265277,224511,,,
O15160;O15160-2,A0A2R8Y5D3;A0A2R8Y8D6;A0A2R8YEZ4;E7EQB9;H0Y723;O15160-2;O15160,RPAC1-2_HUMAN;RPAC1_HUMAN,POLR1C,3,DNA-directed RNA polymerases I and III subunit RPAC1,190578,260546,194656,,,,178501,170685,200600,,,186684
O15173;O15173-2,O15173-2;O15173,PGRC2-2_HUMAN;PGRC2_HUMAN,PGRMC2,4,Membrane-associated progesterone receptor component 2,180277,160482,110198,,,,107764,149179,146366,,,
O15198;O15198-2;P84022;P84022-2;P84022-3;Q15796;Q15796-2,B7Z5N5;H0YL71;H0YMP2;H3BP09;H3BVD1;K7EJX0;O15198-2;P84022-2;P84022-3;Q15796-2;O15198;P84022;Q15796,SMAD2-2_HUMAN;SMAD2_HUMAN;SMAD3-2_HUMAN;SMAD3-3_HUMAN;SMAD3_HUMAN;SMAD9-2_HUMAN;SMAD9_HUMAN,SMAD2;SMAD3;SMAD9,1,Mothers against decapentaplegic homolog 9,,,,,,,,,,,,
O15212,A2AB88;O15212,PFD6_HUMAN,PFDN6,2,Prefoldin subunit 6,,,,,,,,,,,,
O15226;O15226-2,O15226-2;O15226,NKRF-2_HUMAN;NKRF_HUMAN,NKRF,2,NF-kappa-B-repressing factor,,,,,,,,,,,,
O15231;O15231-3,O15231-3;O15231-6;O15231,ZN185-3_HUMAN;ZN185_HUMAN,ZNF185,2,Zinc finger protein 185,,,,,,,,,,,,
O15235,O15235,RT12_HUMAN,MRPS12,1,"28S ribosomal protein S12, mitochondrial",415955,474206,400430,,,,256666,54813,,,,
O15260;O15260-2,B7Z1G8;O15260-2;Q5T8U5;O15260,SURF4-2_HUMAN;SURF4_HUMAN,SURF4,3,Surfeit locus protein 4,508401,441442,387235,,,,,172197,,,,
O15264;O15264-2;P45983;P45983-2;P45983-3;P45983-4;P45983-5;P45984;P45984-2;P45984-3;P45984-4;P45984-5;P53778;P53778-2;P53779;P53779-2;P53779-3;Q15759;Q15759-3;Q16539;Q16539-2;Q16539-3;Q16539-4;Q16539-5,A0A1P0B7D2;A0A1W2PPZ3;A0A1W2PRF2;A0A286YEN5;A0A286YEQ0;A0A286YEQ7;A0A286YES0;A0A286YES9;A0A286YEV3;A0A286YEV8;A0A286YEW9;A0A286YEX7;A0A286YEY0;A0A286YF02;A0A286YF19;A0A286YF35;A0A286YF62;A0A286YF83;A0A286YF85;A0A286YF97;A0A286YFA6;A0A286YFB6;A0A286YFC0;A0A286YFD7;A0A286YFE2;A0A286YFI3;A0A286YFJ4;A0A286YFJ6;A0A286YFM6;A0A286YFN2;A8MWW6;B4E0K5;B5MDL5;D6RCB1;D6RJF9;D7R525;E7EX54;J3KNK1;O15264-2;P45983-2;P45983-3;P45983-4;P45983-5;P45984-2;P45984-3;P45984-4;P45984-5;P53778-2;P53779-2;P53779-3;Q15759-3;Q16539-2;Q16539-3;Q16539-4;Q16539-5;Q499Y8;Q5R3E6;O15264;P45983;P45984;P53778;P53779;Q15759;Q16539,MK08-2_HUMAN;MK08-3_HUMAN;MK08-4_HUMAN;MK08-5_HUMAN;MK08_HUMAN;MK09-2_HUMAN;MK09-3_HUMAN;MK09-4_HUMAN;MK09-5_HUMAN;MK09_HUMAN;MK10-2_HUMAN;MK10-3_HUMAN;MK10_HUMAN;MK11-3_HUMAN;MK11_HUMAN;MK12-2_HUMAN;MK12_HUMAN;MK13-2_HUMAN;MK13_HUMAN;MK14-2_HUMAN;MK14-3_HUMAN;MK14-4_HUMAN;MK14-5_HUMAN;MK14_HUMAN,MAPK10;MAPK11;MAPK12;MAPK13;MAPK14;MAPK8;MAPK9,1,Mitogen-activated protein kinase 13,,,,,,,201429,,,,,
O15269,O15269,SPTC1_HUMAN,SPTLC1,2,Serine palmitoyltransferase 1,,,,,,,,,,,,
O15270,H0YJV2;O15270,SPTC2_HUMAN,SPTLC2,2,Serine palmitoyltransferase 2,,,,,,,,,,,,
O15305;O15305-2,H3BM92;H3BNY9;H3BPH4;H3BR08;H3BRM0;H3BT06;H3BV34;H3BV55;O15305-2;O15305,PMM2-2_HUMAN;PMM2_HUMAN,PMM2,1,Phosphomannomutase 2,,,,,,,,,,,,
O15347,E7EQU1;E7ES08;E9PES6;O15347,HMGB3_HUMAN,HMGB3,7,High mobility group protein B3,297243,336007,367049,,,,1041460,883669,1015870,,,
O15355,O15355,PPM1G_HUMAN,PPM1G,6,Protein phosphatase 1G,,,,,,,115774,151426,140404,,,
O15371;O15371-2;O15371-3,B0QYA5;B0QYA6;B0QYA8;O15371-2;O15371-3;O15371,EIF3D-2_HUMAN;EIF3D-3_HUMAN;EIF3D_HUMAN,EIF3D,5,Eukaryotic translation initiation factor 3 subunit D,78948.4,106455,,,,,277220,279768,309064,,,
O15372,A0A087WZK9;B3KS98;E5RJT0;O15372,EIF3H_HUMAN,EIF3H,7,Eukaryotic translation initiation factor 3 subunit H,,,,,,,204491,182701,251883,,,
O15393;O15393-2,C9JKZ3;O15393-2;O15393,TMPS2-2_HUMAN;TMPS2_HUMAN,TMPRSS2,1,Transmembrane protease serine 2,,163993,159153,,,,,,,,,
O15397,F5GXT5;F5H292;O15397,IPO8_HUMAN,IPO8,1,Importin-8,,,,,,,,,,,,
O15400;O15400-2,O15400-2;O15400,STX7-2_HUMAN;STX7_HUMAN,STX7,2,Syntaxin-7,196418,186182,208663,,,,283059,102404,142918,,,
O15446;O15446-2,O15446-2;O15446,RPA34-2_HUMAN;RPA34_HUMAN,CD3EAP,2,DNA-directed RNA polymerase I subunit RPA34,,,,,,,,40429,,,,
O15498,H7C3K7;O15498-2;O15498,YKT6_HUMAN,YKT6,4,Synaptobrevin homolog YKT6,,,,,,,,46064,147299,,,
O15511;O15511-2,O15511-2;O15511,ARPC5-2_HUMAN;ARPC5_HUMAN,ARPC5,1,Actin-related protein 2/3 complex subunit 5,507465,431697,476339,,,,373140,380611,353568,,,
O43143,A0A140T947;F5H658;O43143;O60231;Q14562,DHX15_HUMAN,DHX15,26,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,972436,1078300,987183,1046620,699906,615704,747092,763120,672681,434222,301528,552090
O43148;O43148-2,K7EP06;O43148-2;O43148,MCES-2_HUMAN;MCES_HUMAN,RNMT,4,mRNA cap guanine-N7 methyltransferase,,,,,,,113575,,98030,,,
O43169,D6RFH4;H3BUX2;O43169,CYB5B_HUMAN,CYB5B,2,Cytochrome b5 type B,172854,124335,158738,,,,116112,,148928,,,
O43172;O43172-2,O43172-2;O43172,PRP4-2_HUMAN;PRP4_HUMAN,PRPF4,5,U4/U6 small nuclear ribonucleoprotein Prp4,270704,254413,245792,346871,117385,,107294,,111037,,,
O43174;O43174-2,O43174-2;O43174,CP26A-2_HUMAN;CP26A_HUMAN,CYP26A1,2,Cytochrome P450 26A1,,,,,,,,,,,,
O43175,A0A286YER3;A0A286YF22;A0A286YF34;A0A286YFA2;A0A286YFB2;A0A286YFC8;A0A286YFL2;A0A286YFM8;A0A2C9F2M7;O43175,SERA_HUMAN,PHGDH,15,D-3-phosphoglycerate dehydrogenase,721851,736685,725119,467578,,,1668330,2076200,1600050,864916,335170,894081
O43181,H0Y9M8;O43181,NDUS4_HUMAN,NDUFS4,1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",,,,,,,,,,,,
O43186;P32242;P32243;P32243-2,G3V3J3;G3V3P9;P32243-2;O43186;P32242;P32243,CRX_HUMAN;OTX1_HUMAN;OTX2-2_HUMAN;OTX2_HUMAN,CRX;OTX1;OTX2,1,Cone-rod homeobox protein,,,94724.3,,,,,,,,,
O43237;O43237-2,J3KRI4;O43237-2;O43237,DC1L2-2_HUMAN;DC1L2_HUMAN,DYNC1LI2,1,Cytoplasmic dynein 1 light intermediate chain 2,,,,,,,,,,,,
O43242,O43242-2;O43242,PSMD3_HUMAN,PSMD3,14,26S proteasome non-ATPase regulatory subunit 3,83933.7,95654.8,64743,,,,308688,233634,287148,,,
O43251;O43251-10;O43251-2;O43251-4;O43251-5;O43251-6;O43251-7;O43251-8;O43251-9;Q9NWB1;Q9NWB1-2;Q9NWB1-3;Q9NWB1-4;Q9NWB1-5,A0A087X2B1;A0A0G2JRA5;A0A0G2JRD1;A0A0G2JSB3;A0A286YEU2;B0QYV1;B0QYY4;B0QYY7;B7Z1U7;F8VR27;F8VZG9;F8VZY7;I3L1D4;J3KNW3;O43251-10;O43251-2;O43251-4;O43251-5;O43251-6;O43251-7;O43251-8;O43251-9;Q9NWB1-2;Q9NWB1-3;Q9NWB1-4;Q9NWB1-5;S4R3K7;S4R469;O43251;Q9NWB1,RFOX1-2_HUMAN;RFOX1-3_HUMAN;RFOX1-4_HUMAN;RFOX1-5_HUMAN;RFOX1_HUMAN;RFOX2-10_HUMAN;RFOX2-2_HUMAN;RFOX2-4_HUMAN;RFOX2-5_HUMAN;RFOX2-6_HUMAN;RFOX2-7_HUMAN;RFOX2-8_HUMAN;RFOX2-9_HUMAN;RFOX2_HUMAN,RBFOX1;RBFOX2,1,RNA binding protein fox-1 homolog 2,,,,,,,,,,,,
O43252,O43252,PAPS1_HUMAN,PAPSS1,1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,,,,,,,,,122124,,,
O43272;O43272-1;O43272-2,A0A087WWM6;C9JIW4;E7EQL6;H7C363;O43272-1;O43272-2;O43272,PROD-1_HUMAN;PROD-2_HUMAN;PROD_HUMAN,PRODH,1,"Proline dehydrogenase 1, mitochondrial",,,,,,,,,,,,
O43278;O43278-2,H3BMB6;H3BR01;H3BTQ8;H3BVD9;O43278-2;O43278,SPIT1-2_HUMAN;SPIT1_HUMAN,SPINT1,4,Kunitz-type protease inhibitor 1,83862,,,,,,,,,,,
O43290,O43290,SNUT1_HUMAN,SART1,9,U4/U6.U5 tri-snRNP-associated protein 1,100199,132168,,138577,,,,123629,,,,
O43291;O43291-2,K7EKQ0;K7EM91;K7ESI5;O43291-2;K7EQZ3;O43291,SPIT2-2_HUMAN;SPIT2_HUMAN,SPINT2,1,Kunitz-type protease inhibitor 2,,,,,,,,,,,,
O43314;O43314-2,A0A087WWN8;A0A087WZV0;H0Y9S9;K7ENU7;O43314-2;O43314,VIP2-2_HUMAN;VIP2_HUMAN,PPIP5K2,1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,,,,,,,,,,,,
O43324;O43324-2,D6RBD7;D6RCQ0;H0YAL7;O43324-2;C9J1V9;O43324,MCA3-2_HUMAN;MCA3_HUMAN,EEF1E1,2,Eukaryotic translation elongation factor 1 epsilon-1,177685,,162392,,,,,,219844,,,
O43347,H0YHB7;O43347,MSI1H_HUMAN,MSI1,1,RNA-binding protein Musashi homolog 1,,,,,,,,,,,,
O43390,O43390-2;O43390-4;O43390,HNRPR_HUMAN,HNRNPR,24,Heterogeneous nuclear ribonucleoprotein R,2036170,2121380,2055380,1071310,742520,684158,1198730,1189090,1109110,207990,175820,451330
O43395,O43395-3;O43395,PRPF3_HUMAN,PRPF3,9,U4/U6 small nuclear ribonucleoprotein Prp3,241300,234359,214901,248261,,,579478,186211,753045,,,
O43396,K7EKG2;K7EPB7;O43396,TXNL1_HUMAN,TXNL1,6,Thioredoxin-like protein 1,221366,200813,311214,,,,642519,499798,622581,,,
O43399;O43399-2;O43399-3;O43399-4;O43399-5;O43399-7,A0A087WYR3;A0A087WZ51;O43399-2;O43399-3;O43399-4;O43399-5;O43399-6;O43399-7;O43399,TPD54-2_HUMAN;TPD54-3_HUMAN;TPD54-4_HUMAN;TPD54-5_HUMAN;TPD54-7_HUMAN;TPD54_HUMAN,TPD52L2,6,Tumor protein D54,150291,,154859,,,,252749,226720,280938,,,
O43402,M0R1B0;O43402,EMC8_HUMAN,EMC8,1,ER membrane protein complex subunit 8,,110427,199007,,,,210687,,212524,,,125320
O43447,A6NM32;C9JQD4;O43447,PPIH_HUMAN,PPIH,6,Peptidyl-prolyl cis-trans isomerase H,342409,362376,328370,329677,,,,251143,156444,,,59810.7
O43491;O43491-4,A0A2R8Y5B3;E9PHY5;E9PII3;E9PK52;O43491-2;O43491-3;O43491-4;O43491,E41L2-4_HUMAN;E41L2_HUMAN,EPB41L2,9,Band 4.1-like protein 2,104615,,111463,,,,161836,213120,145649,,,
O43493;O43493-2;O43493-3;O43493-4;O43493-5,O43493-2;O43493-3;O43493-4;O43493-5;O43493-6;O43493,TGON2-2_HUMAN;TGON2-3_HUMAN;TGON2-4_HUMAN;TGON2-5_HUMAN;TGON2_HUMAN,TGOLN2,2,Trans-Golgi network integral membrane protein 2,66266.4,51461.3,,,,,,,,,,
O43548;O43548-2,A0A087WVS3;A0A087WVW4;A0A087WZC4;O43548-2;O43548,TGM5-2_HUMAN;TGM5_HUMAN,TGM5,2,Protein-glutamine gamma-glutamyltransferase 5,,,,,82283.9,,,,,,,114245
O43567,C9J383;C9J8T4;C9JRV0;C9JU37;C9JYN7;C9JYY4;F8WDJ5;O43567,RNF13_HUMAN,RNF13,1,E3 ubiquitin-protein ligase RNF13,81108,131539,,,,,,,,,,
O43583,F8VVL1;O43583,DENR_HUMAN,DENR,2,Density-regulated protein,,,,,,,,188333,201031,,,
O43615,M0QXM9;O43615,TIM44_HUMAN,TIMM44,7,Mitochondrial import inner membrane translocase subunit TIM44,233467,307917,358476,228639,,,157066,,,,,
O43617;O43617-2,A0A087WWM0;A6NKE1;O43617-2;O43617,TPPC3-2_HUMAN;TPPC3_HUMAN,TRAPPC3,1,Trafficking protein particle complex subunit 3,,,,,,,189961,,,,,
O43657,A0A087WYV6;A0A087WZU5;O43657,TSN6_HUMAN,TSPAN6,2,Tetraspanin-6,380837,461471,457926,264686,190195,,106640,242467,117297,,,
O43660;O43660-2,H0YA24;H0YAA2;O43660-2;O43660,PLRG1-2_HUMAN;PLRG1_HUMAN,PLRG1,20,Pleiotropic regulator 1,546116,583210,534331,421025,251083,,175811,188988,164379,111465,,166115
O43670;O43670-2;O43670-4,J3KS31;J3QRS9;O43670-2;O43670-3;O43670-4;X6R4W8;O43670,ZN207-2_HUMAN;ZN207-4_HUMAN;ZN207_HUMAN,ZNF207,3,BUB3-interacting and GLEBS motif-containing protein ZNF207,227119,320241,344650,,,,771286,895809,683593,,,238630
O43674;O43674-2,E7EWP0;H0Y886;O43674-2;O43674,NDUB5-2_HUMAN;NDUB5_HUMAN,NDUFB5,1,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",,,,,,,,,,,,
O43678,O43678,NDUA2_HUMAN,NDUFA2,4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,339984,,383472,,,,,,180582,,,
O43681,A0A087WXS7;K7ERW9;O43681,ASNA_HUMAN,ASNA1,4,ATPase ASNA1,,,116495,,,,167834,145798,175894,,,
O43684;O43684-2,J3QT28;O43684-2;O43684,BUB3-2_HUMAN;BUB3_HUMAN,BUB3,10,Mitotic checkpoint protein BUB3,448354,460952,477867,,,,780968,891307,799541,,,313500
O43707,F5GXS2;H7C144;O43707-2;O43707-3;O43707,ACTN4_HUMAN,ACTN4,24,Alpha-actinin-4,409794,329343,325694,,,,823903,720989,881621,,,523792
O43709;O43709-3,B3KR83;E9PCQ7;F2Z3D9;F8VZ18;F8WD67;F8WD87;O43709-2;O43709-3;O43709,BUD23-3_HUMAN;BUD23_HUMAN,BUD23,1,Probable 18S rRNA (guanine-N(7))-methyltransferase,,,,,,,,179606,,,,
O43747;O43747-2,O43747-2;O43747,AP1G1-2_HUMAN;AP1G1_HUMAN,AP1G1,3,AP-1 complex subunit gamma-1,,,,,,,,,,,,
O43752,O43752,STX6_HUMAN,STX6,3,Syntaxin-6,,,,,,,,,101601,,,
O43759;O43759-2,A2A283;B5MCD7;F8WCE4;O43759-2;O43759,SNG1-2_HUMAN;SNG1_HUMAN,SYNGR1,1,Synaptogyrin-1,,,,,,,,,35227.6,,,
O43760;O43760-2,K7ELD9;K7ELS8;K7ENG9;O43760-2;O43760,SNG2-2_HUMAN;SNG2_HUMAN,SYNGR2,2,Synaptogyrin-2,319986,303352,358432,452261,,,128062,223088,127896,,,415496
O43765,K7EMD6;O43765,SGTA_HUMAN,SGTA,5,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,,,,,,,158861,61276.6,141550,,,
O43768;O43768-3;O43768-5;O43768-7,A0A1W2PRU0;A6NMQ3;O43768-2;O43768-3;O43768-4;O43768-5;O43768-6;O43768-7;O43768-9;Q5T5H1;O43768,ENSA-3_HUMAN;ENSA-5_HUMAN;ENSA-7_HUMAN;ENSA_HUMAN,ENSA,2,Alpha-endosulfine,176717,,,,,,495689,612174,490490,,,
O43776,K7EIU7;K7EJ19;K7EQ35;O43776-2;O43776,SYNC_HUMAN,NARS,11,"Asparagine--tRNA ligase, cytoplasmic",247668,268555,263302,,,,430517,497631,449689,,,
O43790,A0A087X106;O43790;Q14533,KRT86_HUMAN,KRT86,10,"Keratin, type II cuticular Hb6",,211708,691665,,,,2327100,2023350,1567890,,,
O43795;O43795-2,E9PDF6;G3V342;O43795-2;O43795;Q9UBC5,MYO1B-2_HUMAN;MYO1B_HUMAN,MYO1B,7,Unconventional myosin-Ib,,,,,,,,,83748.2,,,
O43809,O43809,CPSF5_HUMAN,NUDT21,13,Cleavage and polyadenylation specificity factor subunit 5,4010140,3842360,3383440,787194,557505,391011,2139280,1726300,2073630,2723240,1799400,2677450
O43813,E9PHS0;F8WDS9;O43813,LANC1_HUMAN,LANCL1,2,Glutathione S-transferase LANCL1,,,42275.3,,,,,100964,132032,,,
O43818,O43818,U3IP2_HUMAN,RRP9,6,U3 small nucleolar RNA-interacting protein 2,207365,138104,154372,83771.8,,,196429,235585,175218,170305,97469.2,124022
O43837,A0A087WZN1;A0A087X2E5;O43837-2;O43837,IDH3B_HUMAN,IDH3B,1,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",,,,,,,,,,,,
O43847;O43847-2,B1AKJ5;F5H7V1;G3V1R5;O43847-2;O43847,NRDC-2_HUMAN;NRDC_HUMAN,NRDC,2,Nardilysin,,,,,,,,,72683.5,,,
O43852;O43852-3,O43852-10;O43852-11;O43852-13;O43852-14;O43852-3;O43852-5;O43852-6;O43852,CALU-3_HUMAN;CALU_HUMAN,CALU,6,Calumenin,804105,697151,781240,191163,,,317129,315310,251583,,,
O43854;O43854-2,O43854-2;O43854,EDIL3-2_HUMAN;EDIL3_HUMAN,EDIL3,3,EGF-like repeat and discoidin I-like domain-containing protein 3,71229.9,85986.2,79683.6,,,,53608.4,48556.7,,,,
O43865;O43865-2,O43865-2;O43865,SAHH2-2_HUMAN;SAHH2_HUMAN,AHCYL1,4,S-adenosylhomocysteine hydrolase-like protein 1,,,159807,,,,177888,128240,190930,,,
O43920,O43920,NDUS5_HUMAN,NDUFS5,1,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,,,,,,,,,,,,
O60216,A0A140T8W2;E5RFV8;E5RIN7;E5RJK5;E5RJW1;Q9H4I0-2;O60216;Q9H4I0,RAD21_HUMAN,RAD21,8,Double-strand-break repair protein rad21 homolog,188250,131547,,122579,,,,108112,,,,
O60220,O60220,TIM8A_HUMAN,TIMM8A,4,Mitochondrial import inner membrane translocase subunit Tim8 A,215828,,74943.5,,,,285233,,261561,,,
O60231,A0A140T8Y5;A0A140T947;A0A140T9T4;Q5SQH5;O60231,DHX16_HUMAN,DHX16,2,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,,23370.5,,,,,,,,,,
O60256;O60256-3,C9JDH0;C9JDU5;C9JJS3;C9K0K7;E7EPA1;E7EW35;I3L164;I3L331;O60256-3;O60256,KPRB-3_HUMAN;KPRB_HUMAN,PRPSAP2,3,Phosphoribosyl pyrophosphate synthase-associated protein 2,,75089.3,,,,,131667,171720,126348,,,
O60264,A0A0A0MRP6;B7ZLQ5;P28370-2;O60264;P28370,SMCA5_HUMAN,SMARCA5,23,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,235247,217993,277990,240857,,,152670,286772,219606,,,164418
O60294,O60294,TYW4_HUMAN,LCMT2,2,tRNA wybutosine-synthesizing protein 4,,,,,,,,,,,,
O60306,O60306,AQR_HUMAN,AQR,15,RNA helicase aquarius,272187,364405,320220,301285,,,88430,,138265,,,
O60313;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9,A0A2R8Y3X5;A0A2R8Y4G4;A0A2R8Y4Q3;A0A2R8YD53;A0A2R8YDM2;A0A2R8YE54;A0A2R8YE78;A0A2R8YGE5;C9JMB8;E5KLJ9;O60313-10;O60313-11;O60313-13;O60313-2;O60313-9;O60313,OPA1-10_HUMAN;OPA1-11_HUMAN;OPA1-13_HUMAN;OPA1-2_HUMAN;OPA1-9_HUMAN;OPA1_HUMAN,OPA1,3,"Dynamin-like 120 kDa protein, mitochondrial",87789.4,140821,132049,,,,102827,109877,104766,,,
O60333;O60333-2;O60333-4,A0A087WWA3;A0A3B3IT28;A0A3B3ITE5;A0A3B3ITF7;A0A3B3ITW6;A0A3B3IU40;A0A3B3IUA1;A0A3F2YNW9;F8W8V9;H7C0K6;O60333-2;O60333-3;O60333-4;Q12756-2;Q12756-3;Q4R9M9;O43896;O60333;Q12756,KIF1B-2_HUMAN;KIF1B-4_HUMAN;KIF1B_HUMAN,KIF1B,2,Kinesin-like protein KIF1B,361226,304456,,930161,865016,,198562,374075,153558,809197,902362,1080170
O60341;O60341-2,O60341-2;R4GMQ1;O60341,KDM1A-2_HUMAN;KDM1A_HUMAN,KDM1A,8,Lysine-specific histone demethylase 1A,,142903,,,,,152046,148034,179431,,,
O60427,A0A0A0MR51;H0YB97;H7C2V0;O60427,FADS1_HUMAN,FADS1,1,Acyl-CoA (8-3)-desaturase,,,,,,,,,,,,
O60437,K7EKI8;K7EQ71;O60437,PEPL_HUMAN,PPL,24,Periplakin,,,,,,,177657,,,,166242,
O60488;O60488-2,H0Y9A0;O60488-2;O60488,ACSL4-2_HUMAN;ACSL4_HUMAN,ACSL4,9,Long-chain-fatty-acid--CoA ligase 4,136752,125923,,,,,204893,236497,196602,,,
O60493;O60493-4,O60493-2;O60493-4;O60493,SNX3-4_HUMAN;SNX3_HUMAN,SNX3,1,Sorting nexin-3,,,,,,,,,108337,,,
O60502;O60502-2;O60502-3;O60502-4,H7C3X0;O60502-2;O60502-3;O60502-4;O60502,OGA-2_HUMAN;OGA-3_HUMAN;OGA-4_HUMAN;OGA_HUMAN,OGA,1,Protein O-GlcNAcase,,,,,,,121982,,96339.8,,,
